,reviewerID,name,location,yelpJoinDate,friendCount,reviewCount,firstCount,usefulCount,coolCount,funnyCount,complimentCount,tipCount,fanCount
6048,dh5ZO7NgZiYSZXmV4Y7rJA,Philip D.,"Chicago, IL",May 2009,36,11,0,1,0,1,0,3,0
6060,4SJS_m-JXc0oASx6x5Mjkw,Min Mintykins T.,"Los Angeles, CA",February 2007,454,2162,179,9582,8379,6461,10750,0,214
6067,oPbH2zSPf_ogFmWUO8ZY4g,Casey C.,"Chicago, IL",April 2009,0,11,1,9,0,0,0,0,0
6077,BBkEje8oCUmJTQSkLawVxA,pip b.,"Chicago, IL",January 2009,2,38,3,67,10,76,1,0,0
6115,P8coIDRb7x89GXHa1jqCrg,Bil bilwithonel S.,"Jamaica Plain, MA",April 2007,25,7,0,16,1,3,0,0,0
6158,eJAm3JCqPb26-Vxc_XIIKg,s. m. j.,"Conway, AR",May 2011,18,202,33,236,60,19,16,23,4
6185,I46Hd_XZbi_DOFRwJkFAcA,J. L. S.,"Oak Park, IL",August 2010,0,26,0,8,6,1,1,0,0
6235,g4vqaneK40hv14Ps6w7reA,Tom R.,"Austin, TX",January 2011,59,4,0,4,3,2,0,0,0
6280,dhZkTd9cxYIlagRwGguqsQ,Bethany L.,"Chicago, IL",October 2007,12,134,4,129,52,42,22,0,1
6354,oUfwqMzW6OBvMlK4ndeg7g,B. Chocolate thunder S.,"Jefferson Park, Chicago, IL",July 2011,5,68,5,15,5,17,2,31,0
6362,mMHlWzfAZ5E5o-vpo4zL-w,Mary S.,"Chicago, IL",August 2007,28,133,8,218,127,228,148,0,2
6363,RU0FnaBjAqwhukCUDzvFMg,Aubrey T.,"Boston, MA",May 2011,2,35,1,5,4,2,0,1,0
6383,HdBuA62uCLcT01WYiNvQYA,Dianna DOUBLE D D.,"Chicago, IL",March 2008,10,56,0,29,18,8,2,0,0
6415,-XtV5ka3U5IUmukGYUNhJQ,Doll Y.,"Chicago, IL",February 2009,1,17,1,1,1,0,1,0,0
6430,UcPqBjPJnm0B55MQYGHcaQ,Katrina L.,"Evanston, IL",February 2007,10,60,0,83,60,58,10,0,4
6431,c4IRvJVyqjZ-3I_XP_LcPw,Whitney E.,"Chicago, IL",March 2009,0,11,1,17,11,3,0,0,0
6455,9M0Ab-vP77Dq4vG9qH1v_g,Neal G.,"New York, NY",March 2008,14,43,3,44,26,8,4,1,2
6477,zNMYEX6gKpYeVb80ce5F8A,Cameron B.,"Houston, TX",February 2010,130,544,40,644,374,184,169,13,20
6494,MtlkTmXWdobERbb9-vf-tA,Sammy SJ S.,"Elmhurst, IL",February 2010,9,82,7,63,23,37,9,19,5
6509,YUJynKwaBKKh3E9E5MNIgQ,Gil Fenyx N.,"Chicago, IL",March 2007,26,205,26,222,116,92,34,0,4
6527,ma_6e5TlBtqp2mscxp9HqQ,Melanie J.,"Hobart, IN",February 2012,0,6,0,3,1,0,0,0,0
6557,Gr4Joq8OPdiL5uSjIYounQ,Rachel B.,"Chicago, IL",August 2008,0,32,2,53,11,17,0,0,0
6865,a33LjDNrMu6ip8EXXJhH7Q,Edie Ms. Lustie B.,"Chicago, IL",May 2009,0,14,1,57,20,39,1,0,2
7072,Gq9v2xqrnkaH9oFuvyBiIw,Stephen M.,"Chicago, IL",December 2007,14,8,1,6,4,1,0,0,0
7196,4MvVzvoNslTLEKKArAbADg,Laura U.,"Chicago, IL",February 2011,7,1,0,0,0,0,0,0,0
7364,LyoBey7pYHult00lhiS02g,Cassandra W.,"New York, NY",February 2008,77,114,7,92,43,43,32,5,4
7380,Fug40IRhe4A4rJvk0P5fBw,Sara R.,"Chicago, IL",October 2011,1,8,0,1,0,0,0,0,0
7397,EZ3i_Rqwy_my7LuErAGEOQ,Saki Z.,"Chicago, IL",November 2010,1,18,0,5,2,1,0,0,0
7495,8QftS_uW9NmrliKGYvgfGA,Elle M.,"Chicago, IL",February 2012,0,4,0,0,0,0,0,0,0
7514,XUjGcCAOHkAp96LQPWy7Ew,Cera Cera S.,"Chicago, IL",January 2009,115,13,3,9,4,2,1,0,0
7631,xrv3DcyASxXSpnoUh3AXsg,Jolene H.,"Vancouver, BC",January 2007,19,75,3,89,39,17,24,0,4
7697,iflEFcU3QJMEB9YFAsv72Q,Mike U.,"Emeryville, CA",October 2007,28,124,9,163,100,101,97,20,4
7740,WC1O6t5wUpY3-Q5hYShqjA,Deana H.,"Pleasanton, CA",September 2005,17,30,6,36,13,9,3,3,0
7760,9Gg62hHUyDloLL5sfFUsCA,"jennifer JP, Japs, J, Jen p.","San Jose, CA",September 2011,128,35,1,14,6,2,5,2,1
7779,Tq6eoIbMEVzsCHfAL29ppA,Steve Steve4031 W.,"Chicago, IL",August 2008,1,31,7,16,6,5,1,2,0
7819,TtW29c-f6xMOhAX5x0c5zw,Jeff H.,"Chicago, IL",August 2009,0,15,0,6,0,1,0,0,0
7852,7EvLOaSpq53KWYktU6vgrQ,irfan TALK TO ME FOOD m.,"Boston, MA",May 2007,3,36,0,17,6,7,2,0,0
8000,0n2C1Ez8q4V8VWXawpwHbQ,Rich R.,"Miamisburg, OH",March 2009,1,3,0,0,0,0,0,0,1
8390,3Qv6oNpjh3_KjY8IFA-3cg,James F.,"Sunnyvale, CA",March 2007,38,96,4,91,67,115,22,0,1
8393,439pxyi298Y8sQN-LkwrAw,laurie c.,"Austin, TX",January 2007,51,242,30,445,292,70,45,0,5
8433,WkCKFLAQ9egJAKr-nYZIew,Katie I'm Hella NorCal Now H.,"San Francisco, CA",May 2009,5,29,0,38,19,19,12,0,4
8455,pWPObxT8Soov_T2Wgfp18Q,Linda C.,"Queens, NY",July 2009,3,315,49,912,776,714,27,0,7
8506,8TuKQ_wKnAvQRAZNH5BevQ,Johnna B.,"Appleton, WI",December 2011,0,2,0,1,0,0,0,0,0
8525,GxqwXkJ4SQkEreVoEGXLPg,David D.,"Shelburne, VT",April 2007,7,45,7,45,31,9,4,0,2
8590,MiB2gpULGjM1b4Uk8hp0RQ,Fortress A.,"New Brunswick, NJ",August 2010,0,14,0,1,1,5,1,0,0
8650,FQDQJem0Bxtk13Aii7Q8Hw,Bernice Twin B L.,"Northbrook, IL",March 2010,60,101,4,129,87,35,33,160,2
8701,abq2YEZym9SGjwC00uUc3w,Tasha D.,"Chicago, IL",September 2006,1,13,0,8,2,0,0,0,0
8703,5hfvTJczPrHwC0qvrKBTeg,Daniel Y.,"Chicago, IL",August 2009,0,38,0,30,3,12,2,0,0
8796,gXaGpyBgswx5g6C4S3OTBQ,mari s.,"Chicago, IL",May 2009,15,15,0,14,7,0,13,155,0
8921,e6_Xtbvgn50yz5b2QVD_wQ,Joey M.,"Chicago, IL",February 2011,9,12,0,10,4,4,0,0,1
8948,FIAaBcIXClWDwByVqZSbYw,Young Wildcard B.,"Saint Louis, MO",July 2010,56,19,1,7,2,2,3,11,0
8951,fc2meMafVjCbwxVGtdaAlQ,Laura O.,"Chicago, IL",January 2009,0,1,0,0,0,0,0,0,0
8998,Ps0LuCG4HhgJrP0LzbThJA,Rick I.,"Chicago, IL",July 2009,0,3,1,0,0,0,0,0,0
9029,AwA4gGe5-IIXgYa23FSGPw,Parris M.,"Chicago, IL",July 2012,12,16,0,2,1,1,0,0,0
9038,N0XMYcoFol1ijL9CUzZl6w,Ashley D.,"Cincinnati, OH",December 2008,4,7,1,6,0,0,1,0,0
9097,-JSEZ4IILrG44ofafu9IAQ,Feefee G.,"Chicago, IL",June 2012,0,1,0,2,0,0,0,0,0
9176,VcPj1gchy48KWnMk4kMI-A,Miss P.,"San Francisco, CA",December 2007,39,203,2,100,63,118,50,0,2
9251,4jb3UZMBkevHrNz_TX5v2A,Mark R.,"Milwaukee, WI",July 2010,3,27,2,8,3,4,4,0,0
9393,wponykQSCGnAHDdYacqzig,Blair C.,"Chicago, IL",June 2009,0,4,0,1,1,0,0,0,0
9413,iyXmi-1cjlUjhWHplEGU8A,Terry H.,"Chicago, IL",April 2009,1,10,0,8,0,1,0,0,0
9426,r8R_AT_APfZm7wJLFREI7w,Ami B.,"Chicago, IL",August 2010,0,17,0,3,1,1,0,0,0
9458,vlqmXI3INoWXItd3pLkbUQ,Michael the man! E.,"Chicago, IL",October 2010,0,3,0,0,0,0,0,0,0
9493,2gP8SyYiPrMwb80SHSumfg,Dean DandE foodies C.,"Chicago, IL",July 2009,0,2,0,0,0,1,0,0,0
9506,hJCYKe48C9X6UA4_HeLw0g,Jel V.,"Chicago, IL",January 2008,3,3,0,3,1,0,1,0,0
9567,0tawEbG_rWD6cIw5dDvsGQ,Shannon L.,"Los Angeles, CA",September 2011,0,2,0,2,0,0,0,0,0
9578,4wTVoLKw8VQayqCNkSgeIw,Caitlyn O.,"Chicago, IL",July 2008,0,9,0,0,0,1,0,0,0
9647,S2Vdng5MOAyWDDPv23EbDw,BonLion L.,"Chicago, IL",August 2012,0,2,0,0,0,0,0,0,0
9664,plfIfUKAuaz_Y63D7BerOw,Allie H.,"Chicago, IL",October 2011,0,1,0,0,0,0,0,0,0
9679,_4fqW21qlBC9ptHXCRL2iQ,Conrad J.,"Chicago, IL",April 2007,17,29,3,41,29,18,2,0,0
9682,B1qlU8g2-CLAcfaqJx-Jeg,aaron e.,"Chicago, IL",August 2007,0,2,0,0,0,0,0,0,0
9698,cX9egJhRa_IM8t3YIcGfOw,Penny L.,"Chicago, IL",June 2010,0,9,0,4,1,2,0,0,0
9757,10oJen9g1HtT-h-dI9xpmw,Jason M.,"Chicago, IL",March 2008,0,28,1,10,1,0,1,0,0
9802,2rnO4hVpPlXhi5OMJ7Zy4w,Colin h.,"St Paul, MN",May 2011,0,2,0,0,0,1,0,0,0
9935,EXC632BiFSc_5FqZ1v_diA,Angela R.,"Oakland, CA",May 2012,0,2,0,0,0,0,0,0,0
9956,qjiHhm5GRfbAsFCjlc1bjQ,Cynthia G.,"Marengo, IL",May 2012,0,2,0,0,0,0,0,0,0
10112,BO2NTSSPpO-B0POj3QwUkg,lori Lori f.,"Evanston, IL",December 2010,0,2,0,0,0,0,0,0,0
10135,1mBfIosPZ5LGjbSHG_WYtA,Kevin F.,"Chicago, IL",May 2010,0,1,0,0,0,0,0,0,0
10138,dceLbthWNKJhByzGeM3lAQ,Mich N.,"Chicago, IL",April 2009,1,18,2,13,4,1,1,0,0
10164,kFZbNOlrDpLaod8t-hE0kA,C. B.,"Chicago, IL",September 2008,0,6,0,7,0,0,0,0,0
10230,Svf4lN5iZMYf7KMkJ4Y0nA,Kevin M.,"Chicago, IL",September 2008,0,4,0,1,2,1,0,0,0
10249,LX3dHNbtLXNM6yZmL4Fpqw,LaTosha J.,"Lombard, IL",July 2010,0,1,0,1,0,1,1,0,0
10267,BGvcLGDt56cXW-mqZY9nXA,William Will T.,"Wood Dale, IL",January 2009,0,15,1,19,0,2,0,0,0
10310,wBVj6lVqqu3JJGmNBXYOSA,Kfe M.,"Chicago, IL",June 2007,1,7,0,8,4,0,1,0,0
10413,2KPBwc36alOMsJRLwhNmLg,Jessica R.,"Chicago, IL",June 2011,0,3,0,7,1,1,0,0,0
10414,CNuK9vli9KOA0rd7EKo9cQ,Karen D.,"Bolingbrook, IL",June 2011,0,4,0,0,0,0,0,0,0
10425,-tF9mcXWq2ZP5QNfqgnbEQ,Becky R.,"Chicago, IL",October 2011,3,13,0,1,0,1,1,0,0
10612,WH1S83psvo9Co6LciYz5lA,Henry Y.,"Atlanta, GA",January 2010,0,4,0,0,0,0,0,0,0
10617,ppdI3Rbxcf6tskucQR_VHw,M A.,"Chicago, IL",March 2009,0,1,0,0,0,0,1,0,0
10649,vDYVC5x9dSwCOZ78iDsRsg,Hye K.,"Chicago, IL",April 2012,0,5,0,2,0,0,0,0,2
10674,lpW8jeLMtLi4Z4QUCNHx-w,Elizabeth B.,"Chicago, IL",October 2007,0,7,1,5,0,0,0,0,0
10689,hRmQGXv0iMuMpi4UuOry_Q,Dan The Man! H.,"Chicago, IL",May 2009,7,17,1,13,2,6,0,0,0
10698,BKkBF-1ksjB-mX9sE9qBWQ,Michael R.,"Chicago, IL",March 2010,0,3,0,1,0,0,0,0,0
10871,YAQ49IF99yYokTYB0ly3Tg,Umair F.,"Chicago, IL",July 2011,17,16,1,7,4,7,4,0,1
10921,7xucHLL_dgdq42hknOfQ_g,Stav R.,"Chicago, IL",April 2012,0,6,0,0,0,3,0,0,0
10934,4MT_SpcdH_GSc7S9KofmOA,Gina S.,"Hoffman Estates, IL",June 2011,72,6,0,0,0,1,1,0,0
10986,_fTOCLYTnvCJqkCrqWrAIg,Erin S.,"Chicago, IL",November 2009,1,12,0,1,1,0,0,0,0
11187,Z37p6ufH886m0tCQvj3qiA,David S.,"Martinez, CA",January 2010,0,8,0,3,0,0,0,0,0
11198,7Op55LLf2J1rTVqccDDYuQ,Francis D C.,"Chicago, IL",March 2008,0,1,0,1,0,0,0,0,0
11327,ZC2hadc9Ur3m6jQ1DupDnw,Amanda W.,"Chicago, IL",April 2012,2,5,0,3,1,1,0,0,0
11329,E3LGduKI2kmJA1n9IEJKYg,Larry D.,"Schaumburg, IL",February 2012,0,2,0,1,0,0,0,0,0
11349,tr5HrFs1UGMZ00VlFiaLhg,y. designfly k.,"Chicago, IL",December 2010,0,3,1,0,0,0,0,0,0
11388,MMj8GMG1vFTD0mLYmfRNNQ,Jay K.,"Chicago, IL",March 2009,1,9,1,8,3,1,0,0,0
11402,qNl0SMcF-HMTwp19jJa2dg,Tom B.,"Park Ridge, IL",August 2009,0,8,1,3,0,0,0,0,0
11455,-hRrgaDt4InFon_I57Yhvg,Juan C.,"Chicago, IL",March 2012,0,6,0,1,0,0,0,0,0
11477,2MgK4LPpNhKLMGnJqhvcug,Thomas B.,"Chicago, IL",May 2009,0,2,0,0,0,0,0,0,0
11497,B3_Qf0doFJLxHlJZyjlLjw,Joey V.,"Palos Park, IL",January 2010,0,7,0,1,0,0,0,0,0
11580,gvZ17G_foRKWazRwE9giJQ,mark F.,"Chicago, IL",January 2010,0,10,0,1,1,0,0,0,0
11588,WNAnAjWTLSO4EDRIAABjsQ,Sara L.,"Chicago, IL",March 2012,0,5,0,0,0,0,0,0,0
11695,Hgim2hND9QlM2aHZ-gmNmw,Sandra E.,"El Paso, TX",July 2010,0,1,0,0,0,0,0,0,0
11832,eI_6d7NlqxTywEc9rMnaeA,Sandro S.,"Chicago, IL",August 2009,0,5,2,0,0,1,0,1,0
11860,bW4UQehjB2La2_YxJaxrvQ,Alex D.,"Morton Grove, IL",January 2008,0,3,0,5,0,0,1,0,0
11991,Yq5xkdGGtZV-sykfYMHIKw,Janine H.,"Chicago, IL",August 2008,0,9,0,1,1,2,0,0,0
12034,d3Yg0fgVBC2riBdelr3Mtg,Robin L.,"Chicago, IL",December 2010,0,3,0,1,0,1,0,0,0
12115,A8WL7DdOtkuvlJTEFzD5bg,Alla R.,"Glenview, IL",May 2012,0,1,0,0,0,0,0,0,0
12127,Pf6xeU8VRkXrxTRn1d5Zkg,Kelly K o.,"Park Ridge, IL",December 2011,0,2,0,0,0,0,0,0,0
12141,qVzmVE1eFDAzEg94F7H5nA,Kelsey E.,"Chicago, IL",November 2011,0,7,0,1,1,0,0,0,0
12193,1kiCkOuZWAQKi1xJilDk4A,Joyce T.,"Chicago, IL",July 2007,2,11,0,11,2,0,2,0,0
12229,KcYP9KDGsyYHHcySqdCDOg,Brette R.,"Chicago, IL",July 2006,1,28,0,34,6,1,4,0,0
12381,nuSqKFh9zH6cHGGs4pO4OQ,Armando R.,"Chicago, IL",March 2010,0,1,0,0,0,0,0,0,0
12384,4qi_RbUC08_UR3q0-CLNrQ,Kate F.,"Chicago, IL",November 2008,0,1,0,0,0,0,0,0,0
12444,xIXKcbzHbAKyqN1xcnXxCQ,Bonnie P.,"Chicago, IL",February 2010,0,3,0,1,1,1,0,0,0
12502,CdjdJkqD-nq8KCMKAp56BA,Catherine S.,"Chicago, IL",February 2008,0,8,0,1,0,0,0,0,0
12510,sUr-aMrvtMrj07tW5JcpeQ,Jesse Jesus Ninos C.,"Chicago, IL",October 2009,3,20,5,1,0,0,1,0,0
12517,VlKtsToYwZR-s4BOlgjiiw,richard o.,"Chicago, IL",August 2008,2,2,1,2,2,0,0,0,0
12555,DnN0EdMW5giYow5-72USuw,Amanda M.,"Chicago, IL",March 2010,0,1,0,0,0,0,0,0,0
12560,ldXj4ZTnrFACVVn5gnVsXQ,Elizabeth C.,"Chicago, IL",February 2010,0,1,0,0,0,0,0,0,0
12611,WEaZUVM6hz5pTHqyhfkoLA,Vivian P.,"Chicago, IL",September 2006,0,4,0,8,0,0,1,0,0
12616,yCgG9iNhQGE0I0DDgRXxaA,dave dave c.,"Chicago, IL",August 2009,1,7,1,5,1,2,0,0,0
12738,XyUaI5duRlvFGaa2wVOHJg,Andrea Andy P. S.,"Chicago, IL",February 2011,0,1,0,0,0,0,0,0,0
12759,y30jXOyx97Ooi65qnxN44A,Olivia S.,"Chicago, IL",February 2011,0,5,0,0,0,0,0,0,0
12788,LwUTAjyDM0AnZyn0lecV1Q,David R.,"Hartland, WI",June 2011,0,1,0,1,0,0,0,0,0
12795,cmZaT9tV_AjMxLGLvVzUtw,Mike R.,"Chicago, IL",June 2010,0,12,1,6,1,1,0,0,0
12807,VPuteXccLR3SHLSxJQSHGg,A. N. E.,"Chicago, IL",July 2010,0,3,0,5,0,0,0,0,0
12812,kIsTPqhfDiN8Q-1uvTsQFQ,Emma W.,"Valparaiso, IN",February 2010,0,1,0,2,3,1,0,0,0
12878,HpIK2St_v_CWY6nm0AYrHw,TIFFANY TIFF P.,"Chicago, IL",September 2008,0,11,1,1,2,2,0,0,0
12964,K8SXEhsu_bgqTkniUgbgag,J T.,"Chicago, IL",August 2009,0,1,0,0,0,0,0,0,0
12966,VlG26BogziQ241PoJHhorw,Shawn R.,"Chicago, IL",June 2009,0,2,0,0,0,0,0,0,0
12979,leu2l3CdLkBeqi0tUHrjtQ,Weizhi K.,"Cook, IL",October 2009,0,3,0,6,4,4,0,0,0
13108,wALYnyUbvS9s0cHZEMi_AQ,Rob R.,"Chicago, IL",February 2011,0,3,0,0,0,0,0,0,0
13166,1kdycn5kZub5lz0M0HrrHg,Jacqueline T.,"Chicago, IL",March 2009,0,2,1,0,0,0,0,0,0
13177,5Hs8sgLIC4ZNrYSEYXSXRA,michelle m.,"Chicago, IL",December 2009,0,7,1,3,3,0,0,0,0
13228,F74DOZ13kXnBqflR-Z4YbA,Linda L.,"Chicago, IL",December 2010,0,1,0,1,0,0,0,0,0
13246,s9oEz4w68FWUfDAU2FvB-A,anthony s.,"Chicago, IL",September 2008,0,1,0,0,0,0,0,0,0
13285,ZcOJiJEVyR6tNRYluIAx6A,Kara Kara S.,"Chicago, IL",April 2009,0,5,0,0,0,0,0,0,0
13298,du2sKiC-N8MoTyWXWITa6w,Laura A.,"Chicago, IL",August 2009,0,10,0,1,1,0,0,0,0
13306,dPNXPGwJmGKkBNp4l78WSA,Miranda D.,"Chicago, IL",April 2012,0,1,0,1,0,0,0,0,0
13323,rrzify83J1Lkw9Vs2t0BFw,anna f.,"Chicago, IL",August 2011,0,1,0,0,0,0,0,0,0
13355,vhvurZZtLU2rXj1yctY8pg,Mike au2bahn O.,"North English, IA",January 2012,0,15,0,4,2,1,1,0,0
13455,z4ho3S5sEcq8v0PDbmG-7w,Angel G T.,"Chicago, IL",April 2011,0,12,1,2,1,1,0,0,0
13481,qFks-yV0xd3KWk7_Tb4SyQ,Del B.,"Chicago, IL",October 2008,0,3,1,15,2,0,0,0,0
13508,NsIkN6X1etahVUISrMKr6g,steve c.,"Chicago, IL",May 2007,0,5,0,1,1,0,0,0,0
13679,ulnefle25vGxgsSgFis7FQ,Miguel P.,"Chicago, IL",December 2008,0,3,0,0,0,0,0,0,0
13703,tWPYvVwEsPs3be9hyPEOzw,Dean M.,"Chicago, IL",January 2012,0,2,0,2,1,0,0,0,0
13842,YBOvh8wHGdqsXn9jNSjDRg,Ricky P.,"Forest Park, IL",July 2011,0,5,0,0,0,0,0,0,0
13920,vY3_kGpiU2AkwbBRyvkXtA,david b.,"Chicago, IL",March 2008,32,54,1,44,23,25,6,0,1
13944,Kp4d46mN1_i2vSL_NSOX2g,shannon j.,"Chicago, IL",July 2009,0,6,0,6,1,3,0,0,0
14112,PWxlrnOv1egbu1-BecM2AQ,laura d.,"Chicago, IL",March 2011,0,10,0,1,0,0,0,0,0
14114,HGFeEzA63mm2Hb_8M58Zcw,Antonio S.,"Walnut Creek, CA",June 2011,5,3,0,1,0,0,0,0,0
14211,TEnioRcn8z5zP381Lzd1Jw,Ignacio B.,"Chicago, IL",April 2009,4,4,0,3,0,2,1,0,0
14363,ulWz5y_N1qyafo21Y0i90A,Johnny L.,"Placentia, CA",November 2006,1,30,16,23,30,12,5,0,0
14364,THE2FJCXhH4F9DRUzWUbUA,Regina G L.,"Iowa City, IA",February 2007,153,228,19,636,528,309,767,11,21
14451,sbrUz4rcLA9O1T530hIMDA,Daniel S.,"Savannah, GA",March 2009,1,64,33,46,10,9,3,8,1
14469,mjz5k3HsPwkpn4A82Es8sA,Joe joeyride S.,"Orange County, CA",June 2008,53,23,3,7,3,2,1,32,2
14572,Tzcpqe--vz0QgzzlTUQlfA,Jessie moderation is overrated S.,"Hugo, MN",March 2009,44,138,10,182,72,41,49,18,4
14595,bzCcQbknoZ7WQL5KB356Iw,Silent Silent Critict A.,"San Francisco, CA",May 2007,0,43,0,23,12,5,0,0,0
14815,ywafNADXYfNANIvhzJswhA,Jenny happytastydeepfriedgoodliness­ D.,"Chicago, IL",February 2010,2,4,0,23,9,24,1,0,0
14936,cz8V3wu_Hb85oQQYKTQYOw,Ordale The One and Only A.,"Washington D.C., DC",November 2010,19,79,2,128,54,250,33,0,7
14945,nNR_Wj6IM1yMRCf7zsIYgw,Jon JonP J.,"Plymouth, MI",January 2011,1,15,3,5,0,0,0,0,0
15092,9X_COzRVC1LF4IHr5zQMVQ,Paul Winstons Keeper W.,"Chicago, IL",November 2010,2,8,0,0,0,0,0,4,0
15135,t9NhoFA6HrpQf2zz9tkwDA,Claudia Claudy F.,"Chicago, IL",September 2008,0,1,0,0,0,0,0,0,0
15142,FU2Ki6MhyeIlhY4IWQ4sdA,Wicked Witch Of The Web X.,"Chicago, IL",January 2012,0,1,0,0,0,0,0,0,0
15168,uv97eSaNzZZF-LrVYXEdNQ,Michael J.,"San Tan Valley, AZ",March 2012,0,68,6,28,11,6,0,0,4
15191,-68PCMfAr7McfGUDowvNGQ,Chris T.,"Chicago, IL",July 2008,0,2,0,0,1,0,0,0,0
15234,qcj2TptCfoNN6cCwvLCXUQ,Libby S.,"Chicago, IL",February 2008,0,1,0,0,0,0,0,0,0
15323,NFx9yazzgkkOPR8olS4kiw,Mike A.,"Chicago, IL",July 2010,0,2,0,0,2,2,0,0,0
15341,uspd7tNGRzMYU_WFJhyRBQ,Jesse S.,"Henderson, NV",October 2011,0,7,0,2,0,0,1,0,0
15347,bx5jjyD_fIe8Y-Hauh0DPA,Matthew Im yelping hungry H.,"Chicago, IL",January 2010,0,7,1,0,0,0,0,0,0
15470,lCcKRBEXD6cFZ1AiBWa2NA,brando h.,"Forest Park, IL",November 2010,0,1,0,0,0,0,0,0,0
15493,qZ_tTxQlq3HiqlAp37BWbA,Betsy J.,"Chesterfield, MO",November 2010,2,4,0,2,0,0,0,0,0
15658,zGk08ToakIgXzr_RUS6bVQ,James P.,"Chicago, IL",July 2010,0,2,0,0,0,0,0,0,0
15703,JDEbvk9qvII10OySMqzzkQ,Lunden D.,"Chicago, IL",November 2010,42,2,0,1,0,0,0,0,1
15721,chggw27qnyUcfnuplZzpBA,Pauline T.,"Chicago, IL",July 2012,0,4,1,0,0,0,0,0,0
15731,aB7USLtIR4uOrRlBNVpTCg,Jeff S.,"Chicago, IL",December 2006,0,3,0,4,2,1,1,0,0
15772,OVF94jpdjYHu83mKfB4Aag,Nick M.,"Chicago, IL",May 2011,0,2,0,9,0,2,0,0,0
15869,DCWNFC1WZTGkYKduB-YUig,Althea W.,"Chicago, IL",March 2011,0,4,0,2,0,0,0,0,1
15907,45Q67gNbLWMV9WHhLIEaWg,Heather H.,"Chicago, IL",February 2011,0,1,0,1,0,0,0,0,0
15993,WqtZnNtjPLBfcG7XvInsKw,Shannon K.,"Chicago, IL",November 2011,0,1,0,0,0,0,0,0,0
16060,4eFPsecxqtkpgJT79vFD_Q,Brandon U.,"San Francisco, CA",August 2008,10,24,0,23,15,2,1,1,0
16080,VIVU9P3JCX1qYqy9Md-hcg,allison f.,"Chicago, IL",December 2007,6,22,0,16,10,12,3,0,3
16118,3ggfsQD8ti6YfDz6kgxReg,Julian citysmart K.,"Chicago, IL",June 2011,28,5,0,8,1,3,0,0,0
16157,XQPFioi3Rc55sf1i3q1cCQ,Catie P.,"Manhattan, NY",January 2010,3,10,0,5,1,0,0,0,0
16245,uBbGdIpbieFQFVLOQh_8Yg,Rebecca W.,"Chicago, IL",January 2009,0,8,1,6,4,1,1,0,0
16617,d7xA2kRYIH0m8muwOWnsSw,Mony K.,"Philadelphia, PA",September 2012,9,9,0,5,3,2,0,0,0
16664,jfRXIPZ4_5wtsXvRh5L0hA,Betty The bear C.,"Chino Hills, CA",June 2008,88,148,3,107,42,65,52,26,3
16685,g0PyHSAoNmWx84WMuBJKpQ,Matt O.,"Los Angeles, CA",February 2008,7,6,0,6,3,1,0,0,0
16826,3l1kL-u7SedV8caKb0miGQ,Paulina M.,"Chicago, IL",August 2008,5,47,1,33,10,10,4,0,1
